Date,Close,High,Low,Open,Volume,daily_return
,AAPL,AAPL,AAPL,AAPL,AAPL,
2026-01-05,266.5345458984375,270.7730094869922,265.41759095171795,269.9053759278346,45647200,
2026-01-06,261.6478271484375,266.8237416838396,261.4084883511094,266.27524679504927,52352100,-0.018334279083890626
2026-01-07,259.6233215332031,262.96423405428067,259.10474402829175,262.485556491205,48309800,-0.007737521221935606
2026-01-08,258.3368225097656,258.58614386359903,255.00587765735156,256.3222864925608,50419300,-0.004955252154698941
2026-01-09,258.6659240722656,259.5036402038468,255.52448097015204,258.3767027680543,39997000,0.0012739243260126987
2026-01-12,259.54351806640625,260.5906555331263,256.1028713590674,258.45648066308013,45263800,0.0033927700267757377
2026-01-13,260.34136962890625,261.0993163539261,257.68861696081353,258.01770778709204,45730800,0.0030740569768183956
2026-01-14,259.2543029785156,261.1092696408236,256.0131254420647,258.78557762508564,40019400,-0.004175543256686898
2026-01-15,257.50909423828125,260.3314293980394,256.35223934409396,259.94247342351326,39388600,-0.00673164811609317
2026-01-16,254.83633422851562,258.1971811198186,254.23795690818102,257.1998957308392,72142800,-0.010379283953724894
2026-01-20,246.0303192138672,254.09835490933511,242.75922413209136,252.04394930256512,80267500,-0.03455557089732719
2026-01-21,246.9777374267578,250.87712721718017,244.51444112970407,248.02489020045314,54641700,0.0038508189393806624
2026-01-22,247.67584228515625,250.31864258405668,247.47637302553753,248.52352576906395,39708300,0.002826590224981107
2026-01-23,247.36666870117188,248.73296007338791,244.0157890837153,246.64863719927277,41689000,-0.0012482993138605014
2026-01-26,254.71669006347656,255.86356228737432,249.121917868832,250.7973501838168,55969200,0.029713062802263712
2026-01-27,257.56890869140625,261.2389423700868,257.5090739976807,258.4664899667647,49648300,0.01119761185346313
2026-01-28,255.74388122558594,258.1572949521919,253.81911240916085,256.9505880888889,41288000,-0.0070855891539567395
2026-01-29,257.5788879394531,258.94516415300217,253.7193980705993,257.29964922744847,67253000,0.007175173478534136
2026-01-30,258.7756652832031,261.1890792690021,251.49546251262876,254.4773517832236,92443400,0.00464625557367615
2026-02-02,269.27703857421875,269.7557160843994,258.50633807413067,259.3241194003358,73913400,0.04058099234146684
2026-02-03,268.7485046386719,271.1419837262723,266.88355520832346,268.4692659190308,64394700,-0.0019627887262330113
2026-02-04,275.7394104003906,278.19275421850585,271.55083028665655,271.55083028665655,90545700,0.026012817340576033
2026-02-05,275.1610412597656,278.7412924914769,272.48832346973,277.37501624935936,52977400,-0.002097520770734884
2026-02-06,277.364990234375,280.1474248180158,276.1782182606431,276.3677049075235,50453400,0.008009669408572728
2026-02-09,274.13079833984375,277.70443813431814,271.2160169672847,277.41494619870406,44623400,-0.011660418612306933
2026-02-10,273.19244384765625,274.87943562430115,272.4537718732244,274.40031021957236,34376900,-0.003423017398520134
2026-02-11,275.00921630859375,279.6808719096702,273.9610989943363,274.2106536370846,51931300,0.0066501563343039916
2026-02-12,261.2637939453125,275.22886395053104,259.7165366668213,275.09909064411113,81077200,-0.04998167896983208
2026-02-13,255.32435607910156,261.7628783299504,254.9949421084194,261.5432690161623,56290700,-0.022733490073462592
2026-02-17,263.4099426269531,265.8156532326085,255.08478749757862,257.5903108294174,58469100,0.03166790145686926
2026-02-18,263.8791198730469,266.3447212846438,261.9825104325609,263.13045584681157,34203300,0.001781167564954833
2026-02-19,260.11578369140625,264.00886051677537,259.5867290635135,262.13220471573277,30845300,-0.01426159138112626
2026-02-20,264.1086730957031,264.2783836675007,257.7001265171608,258.50868117461044,42070500,0.015350431056632585
2026-02-23,265.705810546875,268.95002088588865,262.91081074777924,263.0206001676805,37308200,0.006047273769737682
2026-02-24,271.6552429199219,274.4003442568012,267.233111068832,267.38283777638213,47014600,0.02239105106810335
2026-02-25,273.74151611328125,274.45024283739696,270.567157599074,271.29586819299504,33714300,0.007679856169661159
